"Country","Year","Oil","OilPCT","Coal","CoalPCT","Gas","GasPCT","Nuclear","NuclearPCT","Hydro","HydroPCT","Renewables","RenewablesPCT","Total","TotalPCT"
"Colombia",1990,9.33220345633669,44.5906878474068,1.59776435,7.63436113645681,3.715,17.7508351728696,0,0,6.22162556003075,29.727873438336,0.0619993664298319,0.296242404930899,20.9285927327973,100
"Colombia",1991,9.57490958390796,44.3039631792839,2.00935995,9.2974882382538,3.693,17.0878413615596,0,0,6.27372041453589,29.029065580928,0.0608679911300174,0.281641639974696,21.6118579395739,100
"Colombia",1992,10.5457838805757,46.5368757486261,3.36087635,14.8310155866676,3.636,16.0450927250339,0,0,5.04154048060821,22.2475204863505,0.0769335203873826,0.339495453322012,22.6611342315713,100
"Colombia",1993,11.2359083484401,45.0049033087032,3.52382875,14.1145305970919,3.815,15.2808033670495,0,0,6.30320677014977,25.2471987513797,0.0880209983255642,0.352563975775711,24.9659648669154,100
"Colombia",1994,11.5906626779532,43.3822031601748,4.0334086,15.0964751692779,3.739,13.9945456202801,0,0,7.25401457211383,27.1507456163743,0.100466126623523,0.376030433892947,26.7175519766906,100
"Colombia",1995,12.223581771798,45.0302243836878,3.60936446,13.296470261384,3.966,14.6102732603094,0,0,7.23840340317687,26.6654189835521,0.107933203602299,0.397613111066616,27.1452828385772,100
"Colombia",1996,12.6237746526355,45.486588811829,2.798023475,10.0819720563214,4.234,15.2561513753793,0,0,7.98470927734237,28.7708864958741,0.112232429741593,0.404401260596214,27.7527398347195,100
"Colombia",1997,12.8300674235125,44.7080668550566,3.313895,11.5477054266389,5.322,18.545212893158,0,0,7.12217948137753,24.8181763895957,0.109290853962076,0.380838435550873,28.6974327588521,100
"Colombia",1998,12.5210145048963,44.1781307158814,3.15159,11.1198142074205,5.584,19.7021321092643,0,0,6.96512739285873,24.5751898373851,0.120378331900257,0.424733130048662,28.3421102296553,100
"Colombia",1999,11.086680596727,42.6514961895015,2.5169431914034,9.68291563924247,4.661,17.93130252151,0,0,7.62561840973885,29.3364665562375,0.103407702403041,0.397819093508518,25.9936499002723,100
"Colombia",2000,10.8641893957715,41.7600177698403,2.70316553834217,10.3904890465114,5.3633523320213,20.6157754188543,0,0,6.97282843824951,26.8023162041598,0.112232429741593,0.431401560634193,26.0157681341261,100
"Colombia",2001,10.172728907614,39.6475010266752,2.661945,10.3747448771056,5.55334421434593,21.6437715424585,0,0,7.15768158573559,27.896564490838,0.112232429741593,0.437418062922679,25.6579321374371,100
"Colombia",2002,10.0106990654759,39.0945749023587,2.1892871,8.54977738856331,5.60915671901273,21.9053231004389,0,0,7.68611983527173,30.0164439709137,0.111101054441779,0.433880637725341,25.6063637742021,100
"Colombia",2003,10.4295449845647,39.3109911039976,2.42689868416666,9.14745492011135,5.37660461623442,20.2654724200631,0,0,8.1858080282391,30.8539084929763,0.112006154681631,0.422173062851634,26.5308624678865,100
"Colombia",2004,10.4355959472465,38.5271697066209,2.1237073,7.84051356222532,5.73645510294452,21.1784147625867,0,0,8.67313617233105,32.0203456409405,0.11743449337014,0.433556327626524,27.0863290158922,100
"Colombia",2005,10.8534194108167,39.8744066568241,1.33812055,4.91612467434704,6.02775050401368,22.1453687289904,0,0,8.87470878399779,32.6048163826913,0.125012445128297,0.459283557147132,27.2190116939565,100
"Colombia",2006,10.8554819431186,34.9572670841344,4.06958818136001,13.1050543608909,6.32541719556991,20.3693672453008,0,0,9.62978951119831,31.0102421680457,0.173300432078288,0.558069141628199,31.0535772633251,100
"Colombia",2007,10.7375480055244,34.4984637235706,3.51442790615403,11.2914385637373,6.69659304928822,21.5153564168957,0,0,10.0108570456917,32.1636921627695,0.165287521347574,0.531049133026875,31.1247135280059,100
"Colombia",2008,11.6846925673809,33.5048571332517,5.77848487624625,16.5693114396319,6.80270442442134,19.5061734440708,0,0,10.4450565256075,29.9503067471514,0.163684473440159,0.469351235894206,34.8746228670961,100
"Colombia",2009,10.670887116886,32.8549563232069,4.52513035544262,13.9325773533505,7.83520803836441,24.1240878161239,0,0,9.24047744754939,28.4508194697696,0.207071360957241,0.637559037549123,32.4787743191997,100
"Colombia",2010,11.9309766315009,34.1651589764794,5.37589632514872,15.3942429243256,8.17727168113412,23.4161708306577,0,0,9.17714228774038,26.2793679758451,0.260185676768339,0.745059292692195,34.9214726022925,100
"Colombia",2011,12.7669719701061,35.1727844252163,4.33134152991978,11.9327701400592,7.96205123270153,21.9353118535915,0,0,10.9579305187491,30.1889068750934,0.279575897311851,0.77022670603971,36.2978711487884,100
"Colombia",2012,13.8655476438175,35.6400027452877,5.13042062284531,13.1872328291496,8.85122899760512,22.7511984291855,0,0,10.7665542300289,27.6743502797465,0.290700177359629,0.747215716630743,38.9044516716565,100
"Colombia",2013,13.8262287092844,35.5034436133312,5.76471396325318,14.8028216113557,9.00881811933139,23.1331386777698,0,0,10.0381929839864,25.7764012212079,0.305391720052494,0.784194876335379,38.9433454959079,100
"Colombia",2014,14.6397778573369,35.8362285677061,5.95394884279426,14.574474673731,9.78853125457011,23.9610222777465,0,0,10.123990450681,24.7821817614571,0.345644894934421,0.846092719359329,40.8518933003167,100
"Colombia",2015,15.4653250839933,36.426494781612,7.04344150457349,16.5898798646324,9.47935653567094,22.3273503469413,0,0,10.110400137367,23.8136887419836,0.357730563290211,0.842586264830671,42.4562538248949,100
"Czech Republic",1965,3.997,9.96286049004213,35.326,88.0530421994566,0.291,0.725342107230988,0,0,0.505,1.25875520327027,0,0,40.119,100
"Czech Republic",1966,4.418,10.925097059769,35.222,87.0990875145281,0.323,0.798733895496921,0,0,0.476,1.17708153020599,0,0,40.439,100
"Czech Republic",1967,4.916,12.3536211489169,34.062,85.5958184650952,0.387,0.972508418354526,0,0,0.429,1.07805196763331,0,0,39.794,100
